category_type_num,Values,category_type,images_loc,bounding_box,category_type1
33,Skirt,Bottom,img/Classic_Pencil_Skirt/img_00000010.jpg,065 088 132 218 ,Lower
33,Skirt,Bottom,img/Quilted_Faux_Leather_Trim_Skirt/img_00000012.jpg,001 152 217 300 ,Lower
33,Skirt,Bottom,img/Button-Front_Floral_Mini_Skirt/img_00000025.jpg,065 162 154 268 ,Lower
33,Skirt,Bottom,img/Embroidered_Faux_Leather_Pencil_Skirt/img_00000001.jpg,053 140 142 298 ,Lower
33,Skirt,Bottom,img/Fluted_Polka_Dot_Skirt/img_00000032.jpg,054 145 143 250 ,Lower
33,Skirt,Bottom,img/Denim_Skater_Skirt/img_00000012.jpg,030 147 202 268 ,Lower
33,Skirt,Bottom,img/Pleated_A-Line_Mini_Skirt/img_00000024.jpg,006 013 198 133 ,Lower
33,Skirt,Bottom,img/Classic_Knit_Skater_Skirt/img_00000039.jpg,134 094 193 129 ,Lower
33,Skirt,Bottom,img/Knit_Skater_Skirt/img_00000018.jpg,029 008 195 117 ,Lower
33,Skirt,Bottom,img/Embroidered_Mini_Skirt/img_00000035.jpg,096 021 116 122 ,Lower
33,Skirt,Bottom,img/Knit_Skater_Skirt/img_00000032.jpg,055 105 156 189 ,Lower
33,Skirt,Bottom,img/Button-Front_Mini_Skirt/img_00000040.jpg,074 105 148 181 ,Lower
33,Skirt,Bottom,img/Faux_Leather_Mini_Skirt/img_00000017.jpg,045 001 160 112 ,Lower
33,Skirt,Bottom,img/High_Slit_Midi_Skirt/img_00000028.jpg,059 099 154 229 ,Lower
33,Skirt,Bottom,img/Embroidered_Organza_Skirt/img_00000030.jpg,057 019 247 275 ,Lower
33,Skirt,Bottom,img/Knit_Mini_Skirt/img_00000008.jpg,001 010 200 287 ,Lower
33,Skirt,Bottom,img/Floral_Lace_A-Line_Skirt/img_00000005.jpg,066 107 136 234 ,Lower
33,Skirt,Bottom,img/Floral_Lace_Mini_Skirt/img_00000007.jpg,027 009 200 116 ,Lower
33,Skirt,Bottom,img/Mixed_Print_Maxi_Skirt/img_00000071.jpg,001 088 163 293 ,Lower
33,Skirt,Bottom,img/Shirred_Sateen_Maxi_Skirt/img_00000006.jpg,063 087 136 247 ,Lower
33,Skirt,Bottom,img/Buttoned_Floral_Gauze_Skirt/img_00000010.jpg,029 174 174 264 ,Lower
33,Skirt,Bottom,img/Tie_Dye_Pencil_Skirt/img_00000018.jpg,049 001 145 164 ,Lower
33,Skirt,Bottom,img/Faux_Leather_A-Line_Skirt/img_00000002.jpg,001 160 195 296 ,Lower
33,Skirt,Bottom,img/Embroidered_Mini_Skirt/img_00000052.jpg,050 069 254 232 ,Lower
33,Skirt,Bottom,img/Textured_Damask_Mini_Skirt/img_00000021.jpg,067 163 137 300 ,Lower
33,Skirt,Bottom,img/High_Slit_Midi_Skirt/img_00000017.jpg,058 102 118 234 ,Lower
33,Skirt,Bottom,img/Mineral_Wash_Pencil_Skirt/img_00000040.jpg,068 118 141 252 ,Lower
33,Skirt,Bottom,img/Marled_Knit_Pencil_Skirt/img_00000006.jpg,042 005 149 174 ,Lower
33,Skirt,Bottom,img/Pleated_Metallic_Skirt/img_00000054.jpg,034 001 184 300 ,Lower
33,Skirt,Bottom,img/Acid_Washed_Denim_Skater_Skirt/img_00000057.jpg,080 097 115 255 ,Lower
33,Skirt,Bottom,img/Floral_Print_A-Line_Skirt/img_00000065.jpg,043 016 175 135 ,Lower
33,Skirt,Bottom,img/Abstract_Print_Maxi_Skirt/img_00000054.jpg,079 095 168 292 ,Lower
33,Skirt,Bottom,img/Pleated_Skater_Skirt/img_00000011.jpg,027 001 171 123 ,Lower
33,Skirt,Bottom,img/Zippered_Faux_Leather_Mini_Skirt/img_00000052.jpg,001 009 200 224 ,Lower
33,Skirt,Bottom,img/Baroque_Pattern_Skater_Skirt/img_00000044.jpg,019 159 194 280 ,Lower
33,Skirt,Bottom,img/Embroidered_Mini_Skirt/img_00000012.jpg,034 156 166 270 ,Lower
33,Skirt,Bottom,img/Embroidered_Mini_Skirt/img_00000030.jpg,056 078 136 174 ,Lower
33,Skirt,Bottom,img/Sequined_Mini_Skirt/img_00000059.jpg,086 090 141 138 ,Lower
33,Skirt,Bottom,img/Mixed_Paisley_Print_Maxi_Skirt/img_00000054.jpg,011 097 097 293 ,Lower
33,Skirt,Bottom,img/Scalloped_Crochet_Skirt/img_00000002.jpg,001 043 204 241 ,Lower
33,Skirt,Bottom,img/Faux_Leather_Pencil_Skirt/img_00000001.jpg,068 098 133 212 ,Lower
33,Skirt,Bottom,img/Lady_Lace_Mini_Skirt/img_00000033.jpg,051 143 161 272 ,Lower
33,Skirt,Bottom,img/Pleated_Floral_Chiffon_Skirt/img_00000006.jpg,001 001 200 300 ,Lower
33,Skirt,Bottom,img/Pleated_Overall_Skirt/img_00000025.jpg,064 110 195 171 ,Lower
33,Skirt,Bottom,img/Geo_Stripe_Knit_Mini_Skirt/img_00000021.jpg,031 181 163 299 ,Lower
33,Skirt,Bottom,img/Zippered_Faux_Leather_Mini_Skirt/img_00000055.jpg,074 001 183 111 ,Lower
33,Skirt,Bottom,img/Side-Slit_Tie-Dye_Maxi_Skirt/img_00000002.jpg,067 100 153 286 ,Lower
33,Skirt,Bottom,img/Floral_Scuba_Knit_Skirt/img_00000006.jpg,044 095 165 224 ,Lower
33,Skirt,Bottom,img/Slit_Midi_Skirt/img_00000004.jpg,064 100 116 223 ,Lower
33,Skirt,Bottom,img/High-Waisted_Denim_Pencil_Skirt/img_00000053.jpg,076 092 150 201 ,Lower
33,Skirt,Bottom,img/Striped_A-Line_Skirt/img_00000047.jpg,044 108 153 213 ,Lower
33,Skirt,Bottom,img/Front-Slit_Pencil_Skirt/img_00000004.jpg,069 001 175 169 ,Lower
33,Skirt,Bottom,img/Pleated_Chiffon_Skirt/img_00000078.jpg,021 061 211 287 ,Lower
33,Skirt,Bottom,img/Classic_Skater_Skirt/img_00000013.jpg,077 105 179 177 ,Lower
33,Skirt,Bottom,img/Faux_Leather_Fringe_Skirt/img_00000035.jpg,059 098 150 232 ,Lower
33,Skirt,Bottom,img/Pleated_Skater_Skirt/img_00000026.jpg,033 158 207 278 ,Lower
33,Skirt,Bottom,img/Textured_Pencil_Skirt/img_00000051.jpg,060 111 133 170 ,Lower
33,Skirt,Bottom,img/Box-Pleated_Rose_Print_Skirt/img_00000049.jpg,001 189 240 300 ,Lower
33,Skirt,Bottom,img/Sheer_Polka_Dot_Skirt/img_00000045.jpg,079 103 150 205 ,Lower
33,Skirt,Bottom,img/Asymmetrical_Pencil_Skirt/img_00000038.jpg,064 001 158 162 ,Lower
33,Skirt,Bottom,img/Textured_Pencil_Skirt/img_00000002.jpg,089 072 181 196 ,Lower
33,Skirt,Bottom,img/Ribbed_Stripe_Mini_Skirt/img_00000015.jpg,015 001 187 300 ,Lower
33,Skirt,Bottom,img/Denim_A-Line_Skirt/img_00000022.jpg,010 041 210 268 ,Lower
33,Skirt,Bottom,img/Pintucked_Mini_Skirt/img_00000019.jpg,019 174 175 294 ,Lower
33,Skirt,Bottom,img/Floral-Paneled_Mini_Skirt/img_00000014.jpg,045 139 167 244 ,Lower
